startDayHour,externalServiceName,externalServiceCall,requestUrl,numSamples,maxDuration,duration_P50,duration_P75,duration_P95,duration_P99
2017-03-21,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2457,18924.96,968.7429,1648.105,2812.796,4147.782
2017-03-22,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2806,21716.52,1021.725,1703.083,3080.885,5164.772
2017-03-23,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2927,30562.88,984.3756,1609.343,3115.027,5193.032
2017-03-24,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1808,6834.438,1015.486,1719.234,2929.113,4313.839
2017-03-27,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2701,19436.12,1140.592,1828.136,3155.829,5304.949
2017-03-28,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2841,14941.18,1125.511,1784.684,3046.873,4205.995
2017-03-29,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2639,29417.45,938.1329,1597.563,2899.619,5321.066
2017-03-30,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3376,60016.07,859.3615,1443.636,2740.546,4877.952
2017-03-31,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2371,18936.96,890.6524,1477.593,2578.107,4187.45
2017-04-03,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,3297,13518.56,1031.228,1680.655,2924.737,4546.601
2017-04-04,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2727,18295.65,921.8855,1484.347,2577.925,3859.3
2017-04-05,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2401,10353.83,961.5381,1584.925,2749.947,4171.52
2017-04-06,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2830,19296.72,921.8613,1499.968,2781.533,4375.282
2017-04-07,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2285,13764.52,897.669,1543.578,2874.726,4203.125
2017-04-10,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2827,14391.22,953.1122,1593.714,2937.313,4406.138
2017-04-11,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2758,12317.72,968.75,1559.815,2812.608,4546.769
2017-04-12,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2412,21725.37,968.7733,1625.023,2968.76,4797.998
2017-04-13,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2334,13661.84,984.3588,1673.642,3093.14,5062.397
2017-04-14,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,1395,8298.519,1001.193,1660.525,3102.336,4875.36
2017-04-17,CampaignAggregatorService,All,https://api.ucm.bingads.microsoft.com/api/v2/DataTable/BobAccounts,2175,25010.99,999.9762,1694.15,3121.773,8139.064
